pid,grp,duration
172,Pre-like status,92
172,Sent like,-99
173,Pre-like status,92
173,Sent like,1
173,Match,-99
174,Pre-like status,92
174,Sent like,-99
175,Pre-like status,92
175,Sent like,-99
176,Pre-like status,92
176,Sent like,-99
177,Pre-like status,92
177,Sent like,-99
178,Pre-like status,93
178,Sent like,-99
179,Pre-like status,93
179,Sent like,-99
180,Pre-like status,93
180,Sent like,-99
181,Pre-like status,93
181,Sent like,-99
182,Pre-like status,93
182,Sent like,-99
183,Pre-like status,93
183,Sent like,-99
184,Pre-like status,93
184,Sent like,-99
185,Pre-like status,93
185,Sent like,7
185,Match,-99
186,Pre-like status,93
186,Sent like,-99
187,Pre-like status,93
187,Sent like,-99
188,Pre-like status,93
188,Sent like,-99
189,Pre-like status,93
189,Sent like,-99
190,Pre-like status,94
190,Sent like,-99
191,Pre-liked me status,94
191,Liked me,1
191,Match,-99
192,Pre-like status,94
192,Sent like,-99
193,Pre-like status,94
193,Sent like,-99
194,Pre-like status,94
194,Sent like,-99
195,Pre-like status,94
195,Sent like,-99
196,Pre-like status,94
196,Sent like,-99
197,Pre-like status,94
197,Sent like,-99
198,Pre-like status,94
198,Sent like,-99
199,Pre-like status,95
199,Sent like,-99
200,Pre-like status,95
200,Sent like,-99
201,Pre-like status,95
201,Sent like,-99
202,Pre-like status,95
202,Sent like,-99
203,Pre-like status,95
203,Sent like,-99
204,Pre-like status,95
204,Sent like,-99
205,Pre-like status,95
205,Sent like,1
205,Match,1
205,Conversation in app,3
205,First date,-99
206,Pre-like status,95
206,Sent like,-99
207,Pre-like status,95
207,Sent like,-99
208,Pre-like status,95
208,Sent like,-99
209,Pre-like status,95
209,Sent like,-99
210,Pre-like status,95
210,Sent like,-99
211,Pre-like status,95
211,Sent like,-99
212,Pre-like status,95
212,Sent like,-99
213,Pre-like status,95
213,Sent like,-99
214,Pre-like status,95
214,Sent like,-99
215,Pre-like status,95
215,Sent like,-99
216,Pre-like status,95
216,Sent like,-99
217,Pre-like status,95
217,Sent like,-99
218,Pre-like status,95
218,Sent like,-99
219,Pre-like status,95
219,Sent like,-99
220,Pre-like status,95
220,Sent like,-99
221,Pre-like status,95
221,Sent like,-99
222,Pre-like status,95
222,Sent like,-99
223,Pre-like status,95
223,Sent like,-99
224,Pre-like status,96
224,Sent like,-99
225,Pre-like status,96
225,Sent like,-99
226,Pre-like status,96
226,Sent like,-99
227,Pre-like status,96
227,Sent like,-99
228,Pre-like status,96
228,Sent like,-99
229,Pre-like status,96
229,Sent like,-99
230,Pre-like status,96
230,Sent like,-99
231,Pre-like status,96
231,Sent like,-99
232,Pre-like status,96
232,Sent like,-99
233,Pre-like status,96
233,Sent like,-99
234,Pre-like status,96
234,Sent like,-99
235,Pre-like status,96
235,Sent like,-99
236,Pre-like status,96
236,Sent like,-99
237,Pre-like status,96
237,Sent like,-99
238,Pre-like status,96
238,Sent like,-99
239,Pre-like status,96
239,Sent like,-99
240,Pre-like status,96
240,Sent like,-99
241,Pre-like status,96
241,Sent like,-99
242,Pre-like status,96
242,Sent like,-99
243,Pre-like status,97
243,Sent like,-99
244,Pre-like status,97
244,Sent like,-99
245,Pre-like status,97
245,Sent like,-99
246,Pre-liked me status,98
246,Liked me,1
246,Match,1
246,Conversation in app,-99
247,Pre-like status,99
247,Sent like,-99
248,Pre-like status,99
248,Sent like,-99
249,Pre-like status,100
249,Sent like,-99
250,Pre-like status,100
250,Sent like,-99
251,Pre-like status,100
251,Sent like,-99
252,Pre-like status,100
252,Sent like,-99
253,Pre-like status,100
253,Sent like,-99
254,Pre-like status,100
254,Sent like,-99
255,Pre-like status,100
255,Sent like,-99
256,Pre-like status,100
256,Sent like,-99
257,Pre-like status,100
257,Sent like,-99
258,Pre-like status,101
258,Sent like,-99
259,Pre-like status,101
259,Sent like,-99
260,Pre-liked me status,101
260,Liked me,-99
261,Pre-like status,101
261,Sent like,-99
262,Pre-like status,101
262,Sent like,-99
263,Pre-like status,101
263,Sent like,6
263,Match,1
263,Conversation in app,-99
264,Pre-like status,101
264,Sent like,-99
265,Pre-like status,101
265,Sent like,-99
266,Pre-like status,101
266,Sent like,1
266,Match,-99
267,Pre-like status,102
267,Sent like,4
267,Match,-99
268,Pre-like status,102
268,Sent like,-99
269,Pre-like status,102
269,Sent like,1
269,Match,1
269,Conversation in app,-99
270,Pre-like status,102
270,Sent like,-99
271,Pre-like status,102
271,Sent like,-99
272,Pre-like status,102
272,Sent like,-99
273,Pre-like status,102
273,Sent like,-99
274,Pre-like status,102
274,Sent like,-99
275,Pre-like status,102
275,Sent like,-99
276,Pre-like status,102
276,Sent like,-99
277,Pre-like status,103
277,Sent like,-99
278,Pre-like status,103
278,Sent like,-99
279,Pre-like status,103
279,Sent like,-99
280,Pre-like status,103
280,Sent like,-99
281,Pre-like status,103
281,Sent like,-99
282,Pre-like status,103
282,Sent like,-99
283,Pre-like status,103
283,Sent like,-99
284,Pre-like status,103
284,Sent like,-99
285,Pre-like status,103
285,Sent like,-99
286,Pre-like status,103
286,Sent like,-99
287,Pre-like status,103
287,Sent like,-99
288,Pre-like status,103
288,Sent like,1
288,Match,1
288,Conversation in app,-99
289,Pre-like status,103
289,Sent like,-99
290,Pre-like status,103
290,Sent like,-99
291,Pre-like status,103
291,Sent like,-99
292,Pre-like status,103
292,Sent like,-99
293,Pre-liked me status,103
293,Liked me,-99
294,Pre-like status,104
294,Sent like,-99
295,Pre-like status,104
295,Sent like,-99
296,Pre-like status,104
296,Sent like,-99
297,Pre-like status,104
297,Sent like,-99
298,Pre-like status,104
298,Sent like,-99
299,Pre-like status,104
299,Sent like,1
299,Match,1
299,Conversation in app,7
299,First date,7
299,Second date,-99
300,Pre-like status,104
300,Sent like,-99
301,Pre-like status,104
