loss,likelihood,loss_event,color
60900.9009,0.74635,Ransomware,'#8dd3c7'
61261.26126,0.74382,Ransomware,'#8dd3c7'
61621.62162,0.74239,Ransomware,'#8dd3c7'
61981.98198,0.73931,Ransomware,'#8dd3c7'
62342.34234,0.73645,Ransomware,'#8dd3c7'
62702.7027,0.73469,Ransomware,'#8dd3c7'
63063.06306,0.73227,Ransomware,'#8dd3c7'
63423.42342,0.7304,Ransomware,'#8dd3c7'
63783.78378,0.72908,Ransomware,'#8dd3c7'
64144.14414,0.72699,Ransomware,'#8dd3c7'
64504.5045,0.7249,Ransomware,'#8dd3c7'
64864.86486,0.7227,Ransomware,'#8dd3c7'
65225.22522,0.72006,Ransomware,'#8dd3c7'
65585.58558,0.7172,Ransomware,'#8dd3c7'
65945.94594,0.71445,Ransomware,'#8dd3c7'
66306.3063,0.71137,Ransomware,'#8dd3c7'
66666.66666,0.70862,Ransomware,'#8dd3c7'
67027.02702,0.70587,Ransomware,'#8dd3c7'
67387.38738,0.70246,Ransomware,'#8dd3c7'
67747.74775,0.70015,Ransomware,'#8dd3c7'
68108.10811,0.69729,Ransomware,'#8dd3c7'
68468.46847,0.69344,Ransomware,'#8dd3c7'
68828.82883,0.69047,Ransomware,'#8dd3c7'
69189.18919,0.68783,Ransomware,'#8dd3c7'
69549.54955,0.68574,Ransomware,'#8dd3c7'
69909.90991,0.68343,Ransomware,'#8dd3c7'
70270.27027,0.68068,Ransomware,'#8dd3c7'
70630.63063,0.67782,Ransomware,'#8dd3c7'
70990.99099,0.6754,Ransomware,'#8dd3c7'
71351.35135,0.67309,Ransomware,'#8dd3c7'
71711.71171,0.67012,Ransomware,'#8dd3c7'
72072.07207,0.66704,Ransomware,'#8dd3c7'
72432.43243,0.66418,Ransomware,'#8dd3c7'
72792.79279,0.66088,Ransomware,'#8dd3c7'
73153.15315,0.65835,Ransomware,'#8dd3c7'
73513.51351,0.65472,Ransomware,'#8dd3c7'
73873.87387,0.65186,Ransomware,'#8dd3c7'
74234.23423,0.64812,Ransomware,'#8dd3c7'
74594.59459,0.64438,Ransomware,'#8dd3c7'
74954.95495,0.64075,Ransomware,'#8dd3c7'
75315.31531,0.63844,Ransomware,'#8dd3c7'
75675.67567,0.63481,Ransomware,'#8dd3c7'
76036.03603,0.63129,Ransomware,'#8dd3c7'
76396.39639,0.62821,Ransomware,'#8dd3c7'
76756.75676,0.62634,Ransomware,'#8dd3c7'
77117.11712,0.62381,Ransomware,'#8dd3c7'
77477.47748,0.62117,Ransomware,'#8dd3c7'
77837.83784,0.61853,Ransomware,'#8dd3c7'
78198.1982,0.61644,Ransomware,'#8dd3c7'
78558.55856,0.61424,Ransomware,'#8dd3c7'
78918.91892,0.61149,Ransomware,'#8dd3c7'
79279.27928,0.60841,Ransomware,'#8dd3c7'
79639.63964,0.6061,Ransomware,'#8dd3c7'
80000,0.60302,Ransomware,'#8dd3c7'
80360.36036,0.59862,Ransomware,'#8dd3c7'
80720.72072,0.59631,Ransomware,'#8dd3c7'
81081.08108,0.59312,Ransomware,'#8dd3c7'
81441.44144,0.59103,Ransomware,'#8dd3c7'
81801.8018,0.58773,Ransomware,'#8dd3c7'
82162.16216,0.58498,Ransomware,'#8dd3c7'
82522.52252,0.58311,Ransomware,'#8dd3c7'
82882.88288,0.57992,Ransomware,'#8dd3c7'
83243.24324,0.57706,Ransomware,'#8dd3c7'
83603.6036,0.57497,Ransomware,'#8dd3c7'
83963.96396,0.57189,Ransomware,'#8dd3c7'
84324.32432,0.56859,Ransomware,'#8dd3c7'
84684.68468,0.56617,Ransomware,'#8dd3c7'
85045.04504,0.56419,Ransomware,'#8dd3c7'
85405.4054,0.5621,Ransomware,'#8dd3c7'
85765.76577,0.56001,Ransomware,'#8dd3c7'
86126.12613,0.55693,Ransomware,'#8dd3c7'
86486.48649,0.55352,Ransomware,'#8dd3c7'
86846.84685,0.55044,Ransomware,'#8dd3c7'
87207.20721,0.54725,Ransomware,'#8dd3c7'
87567.56757,0.5445,Ransomware,'#8dd3c7'
87927.92793,0.54219,Ransomware,'#8dd3c7'
88288.28829,0.53966,Ransomware,'#8dd3c7'
88648.64865,0.53757,Ransomware,'#8dd3c7'
89009.00901,0.53449,Ransomware,'#8dd3c7'
89369.36937,0.53174,Ransomware,'#8dd3c7'
89729.72973,0.52789,Ransomware,'#8dd3c7'
90090.09009,0.52503,Ransomware,'#8dd3c7'
90450.45045,0.52261,Ransomware,'#8dd3c7'
90810.81081,0.51964,Ransomware,'#8dd3c7'
91171.17117,0.51722,Ransomware,'#8dd3c7'
91531.53153,0.51436,Ransomware,'#8dd3c7'
91891.89189,0.50974,Ransomware,'#8dd3c7'
92252.25225,0.50732,Ransomware,'#8dd3c7'
92612.61261,0.50501,Ransomware,'#8dd3c7'
92972.97297,0.5016,Ransomware,'#8dd3c7'
93333.33333,0.49852,Ransomware,'#8dd3c7'
93693.69369,0.4961,Ransomware,'#8dd3c7'
94054.05405,0.4928,Ransomware,'#8dd3c7'
94414.41441,0.49016,Ransomware,'#8dd3c7'
94774.77477,0.48829,Ransomware,'#8dd3c7'
95135.13513,0.48466,Ransomware,'#8dd3c7'
95495.49549,0.48158,Ransomware,'#8dd3c7'
95855.85585,0.47905,Ransomware,'#8dd3c7'
96216.21621,0.47652,Ransomware,'#8dd3c7'
96576.57657,0.47476,Ransomware,'#8dd3c7'
96936.93693,0.47223,Ransomware,'#8dd3c7'
97297.29729,0.4686,Ransomware,'#8dd3c7'
97657.65765,0.46717,Ransomware,'#8dd3c7'
98018.01801,0.4642,Ransomware,'#8dd3c7'
98378.37837,0.46156,Ransomware,'#8dd3c7'
98738.73873,0.45881,Ransomware,'#8dd3c7'
99099.09909,0.45551,Ransomware,'#8dd3c7'
99459.45945,0.45243,Ransomware,'#8dd3c7'
99819.81981,0.44924,Ransomware,'#8dd3c7'
100180.1802,0.44682,Ransomware,'#8dd3c7'
100540.5405,0.44363,Ransomware,'#8dd3c7'
100900.9009,0.44143,Ransomware,'#8dd3c7'
101261.2613,0.43857,Ransomware,'#8dd3c7'
101621.6216,0.4367,Ransomware,'#8dd3c7'
101981.982,0.43395,Ransomware,'#8dd3c7'
102342.3423,0.43032,Ransomware,'#8dd3c7'
102702.7027,0.42779,Ransomware,'#8dd3c7'
103063.0631,0.42537,Ransomware,'#8dd3c7'
103423.4234,0.4224,Ransomware,'#8dd3c7'
103783.7838,0.42042,Ransomware,'#8dd3c7'
104144.1441,0.41789,Ransomware,'#8dd3c7'
104504.5045,0.41525,Ransomware,'#8dd3c7'
104864.8649,0.41261,Ransomware,'#8dd3c7'
105225.2252,0.41074,Ransomware,'#8dd3c7'
